"Acre";"1300022.17";"10430"
"Amazonas";"1765350.80";"26162"
"Amapá";"1272248.80";"4814"
"Pará";"4412502.36";"148330"
"Rondônia";"3724918.20";"185962"
"Roraima";"756669.84";"4810"
"Tocantins";"1693737.91";"40506"
"Alagoas";"603769.75";"12040"
"Bahia";"1643389.61";"97836"
"Ceará";"2183203.41";"64130"
"Maranhão";"2211843.56";"61468"
"Paraíba";"743406.14";"19498"
"Pernambuco";"1558874.90";"57364"
"Piauí";"822518.12";"19252"
"Rio Grande do Norte";"1234820.80";"30436"
"Sergipe";"801453.73";"10482"
"Distrito Federal";"2453486.43";"75616"
"Goiás";"2211918.62";"107632"
"Mato Grosso do Sul";"1537152.04";"39180"
"Mato Grosso";"2468085.93";"63554"
"Espírito Santo";"1034458.01";"33768"
"Minas Gerais";"3259399.26";"362548"
"Rio de Janeiro";"3957947.20";"256058"
"São Paulo";"4114458.99";"407520"
"Paraná";"2407979.15";"83514"
"Rio Grande do Sul";"2348014.10";"121174"
"Santa Catarina";"2134497.26";"89934"
